"Part";"Value";"Device";"Package";"Description";"";
"JP13";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";
"JP14";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";
"JP15";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";
"LED1";"Green 5mm";"LED3MM";"LED3MM";"LED";"";
"LED2";"Blue 5mm";"LED3MM";"LED3MM";"LED";"";
"LED3";"Green 5mm";"LED3MM";"LED3MM";"LED";"";
"LED4";"Blue 5mm";"LED3MM";"LED3MM";"LED";"";
"LED5";"Red 5mm";"LED3MM";"LED3MM";"LED";"";
"LED6";"DNI/Lite-On LTST-C191KGKT Green";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"LED7";"DNI/Lite-On LTST-C191TBKT Blue";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";
"LED8";"DNI/B1911USD-20D000114U1930 RED";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";
"LED9";"DNI/B1911NG--20D000214U1930 GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"LED10";"DNI/Lite-On LTST-C191TBKT Blue";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";
"R1";"1K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R2";"DNI/1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"220";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R4";"DNI/220";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";
"R5";"DNI/5.1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"DNI/5.1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"DNI/100";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";
"R8";"100";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R9";"1K";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R10";"DNI/1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"10K";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R12";"DNI/10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"1k";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R14";"100";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R15";"DNI/1.0K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R16";"DNI/100";"RESISTOR0603";"0603-RES";"Resistor";"";
"R17";"DNI/1.0K";"RESISTOR0603";"0603-RES";"Resistor";"";
"R18";"DNI/3.3K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R19";"DNI/220";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R20";"4.7k";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R21";"DNI/4.7k";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R22";"4.7k";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R23";"DNI/4.7k";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";
"R24";"DNI/4.7k";"RESISTORPTH-1/4W-VERT";"AXIAL-0.1";"Resistor";"";
"R25";"DNI/4.7k";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";
"R26";"68";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R27";"DNI/68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R28";"DNI/0R";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";
"R29";"180";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R30";"DNI/180";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"301010206";"";
"R31";"68";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R32";"1k";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
"R33";"DNI/68";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R34";"100";"RESISTORPTH-1/4W-VERT-KIT";"AXIAL-0.1EZ";"Resistor";"";
