"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"1";"DNI/220";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"R27";"301010206";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"1.2K";
"2";"DNI/4.7k";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"R5, R6";"301010206";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"1.2K";
"1";"DNI/47uF";"CERAMIC-10PF-50V-5%-NPO(0603)";"C0603";"C9";"302010097";"";"";"";"";"";"";"";"";"";"";"";"";"10pf";
"2";"DNI/68";"SMD-RES-1.2K-1%-1/10W(0603)";"R0603";"R22, R26";"301010206";"";"";"";"";"";"";"";"";"RC0603FR-071K2L";"";"";"";"1.2K";
"1";"DTSM-6";"DTSM-6";"DTSM-6";"S2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"GREEN";"LED-GREEN0603";"LED-0603";"D8, D11";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"";"DIO-00821";"GREEN";
"2";"Green 5mm";"LED3MM";"LED3MM";"LED1, LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"JP1, JP2, JP3, JP4, JP9, JP10, JP11, JP12";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"JP6, JP8";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MPU6050";"M08NO_SILK_FEMALE_PTH";"1X08_NO_SILK";"U3";"Header 8";"";"";"";"";"";"";"";"";"";"";"";"CONN-08438";"";
"1";"RA-SPST";"RA-SPST";"RA-SPST";"S1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-BLUE0603";"LED-0603";"D10";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"DIO-08575";"BLUE";
"1";"Raspberry Pi Pico";"RASPBERRY_PICO-NO_DEBUG";"PICO-PKG-NO_DEBUG";"U5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Red 5mm";"LED3MM";"LED3MM";"LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SC1464-ND";"PG203J";"PG203J";"X1";"MIC/HEADPHONE JACK";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"SMA-VERT";"SMA-VERT";"SMA-VERT";"X11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SR_FRS_0W5";"SR_FRS_0W5";"SR_FRS_0W5";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Sparkfun USB-C Breakout";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"CONN-08437";"";
"3";"TS12A4514PG4";"TS12A4515PG4";"P8_TEX";"U2, U6, U7";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"TS12A4515PG4";"";"Texas Instruments";"";"";"";"";"";
"3";"TS12A4516DR";"TS12A4516DR";"D8";"U8, U9, U10";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"296-21911-1-ND";"296-21911-2-ND";"296-21911-6-ND";"2156-TS12A4516DR-ND";"TS12A4516DR";"";"Texas Instruments";"";"";"";"";"";
"1";"USB4105-GF-A or GT-USB-7010B";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"J2";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";
